x1	x2	x3	x4	y
-1.025709771909854240e+00	8.783547751245325941e+00	-1.509803016442068380e+00	-7.920695518247044653e+00	-2.572821439341107066e+02
-8.830565119747948444e-01	6.108688914608162435e+00	-1.585931842196585340e+00	-2.613977904208018566e-01	-6.109617050401291749e+01
-7.751645796622979034e-01	4.312121261188289978e+00	-1.527786294704194914e+00	6.055897981853426870e+00	-1.629747394298751146e+02
-7.385152565711531336e-01	-1.665127721706185504e+00	-1.342089145732308308e+00	1.295279961808541458e+01	-4.822234458093056446e+02
-8.949021873527548410e-01	-1.369012481054671504e+01	-9.467339773206260300e-01	2.676694947456725870e+01	-1.582632980847369879e+02
-1.068532943866526086e+00	-1.471304822301366499e+00	-5.150106840831797372e-01	1.458798307943297523e+01	6.428985491786752391e+02
-9.922233686570691713e-01	8.152066551602421995e+00	-3.127621118415978008e-01	5.294475618581473420e+00	3.580756162624073227e+02
-7.473943161845952865e-01	1.798591282709804773e+01	-3.636186761386515087e-01	-1.319863295877614462e+01	8.557836341433888947e+02
-3.149013077591203413e-01	1.731826619350242780e+01	-7.369073520749404027e-01	-1.121729134293802943e+01	-7.639208974755439385e+02
-6.968968690686810907e-02	8.155587056519960854e+00	-7.411331747326499464e-01	8.598759008177930596e+00	-4.561349381384035269e+02
-3.622906924937829842e-02	-7.046509242726292754e+00	-4.281146255483240792e-01	2.398935046028512375e+01	-1.101766082914557956e+03
-2.668480695439353623e-01	-6.025940793979142285e+00	1.517769036256438608e-01	2.312278743132277725e+01	1.106322714287496638e+03
-2.136116756743342560e-01	9.175017310750572364e+00	4.517237857197450857e-01	7.695419719037423611e+00	4.693958701411831385e+02
6.588969441914653558e-02	2.054362886975644287e+01	4.032835392226885030e-01	-1.548363479043648105e+01	9.477319615555362589e+02
5.141106425525623358e-01	1.630735187209941373e+01	3.216653098654966708e-02	-8.360196328650935982e+00	-7.336809988852533024e+02
7.386428596392049517e-01	6.644520651583563087e+00	7.158036350240072621e-02	9.871651428853152055e+00	-5.221780518823087505e+02
7.360718026841817085e-01	-8.602179079212453061e+00	3.937971665647827524e-01	2.388805797145406729e+01	-9.993626229722466405e+02
